Linkki,Nimi,Lajittelu,,Note,Vuosi,Sesonki,extags,syntags,annoksia,reseptitiedosto
https://www.k-ruoka.fi/reseptit/omenagalette,Omena galette,Jälkiruoka,,"voisi tehdä neljän sijaan kuusi tai kahdeksan pienemoää leivonnaista, toimi myös kun grahamin korvasi rukiilla",2022,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/omenainen-lihapata,Omenainen lihapata,Pääruoka,,"Enemmän maustetta, pidempi haudutus ja matalampi lämpötila",2021,,"uuni, possu",,,testi123.yml
https://www.atria.fi/lihakauppa/reseptit/nauta/osso-buccoa-ja-risotto-milanese-tomaattisalsalla/,Osso bucco ja risotto,Pääruoka,,Herkullinen!,2022,,"uuni, liha",,,testi123.yml
https://www.pullahiiri.com/2017/02/pitsaperjantain-herkullinen-pannupitsa.html,pannupizza,pääruoka,,,2019,,uuni,,,testi123.yml
https://www.fazer.fi/reseptit-ja-ideat/leivonta/patkis/patkis-juustokakku/,Pätkis juustokakku,Kahvi,Jälkiruoka,"Helppo, nopea ja maukas",2022,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/vadelmapavlova,pavlova,Jälkiruoka,Kahvi,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/perunarostipelti,Perunaröstipelti,Lisuke,,,2021,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/pesto-kanapyorykat,Pesto kanapyörykät,Pääruoka,,"Helppo ja nopee, mausta enemmän ku ohje sanoo",???,,"kana, riisi",,,testi123.yml
https://www.menaiset.fi/artikkeli/ruoka/reseptit/tekeeko-mieli-munkkeja-muttet-millaan-jaksaisi-vasata-tee-churroja-eli?fbclid=IwAR3OrkFOx-r-_4gv6AGF89wGVzSmModgSL1K7rbNF4GJCPjWo8noKK1GeXQ,Pikachurro,Kahvi,Jälkiruoka,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/pinaatti-sitruuna-ricottatuorepasta,Pinaatti Sitruuna Ricottatuorepasta,Pääruoka,,,???,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/pizzapohja,Pizzapohja,Pääruoka,,"Perus hyvä, tuplana tuli n. 8 pizzaa",2020,,uuni,,,testi123.yml
https://www.k-ruoka.fi/reseptit/pizzetti,Pizzetti,Pääruoka,,,???,,uuni,,,testi123.yml
https://www.k-ruoka.fi/reseptit/porkkanakakkupannari,porkkanakakkupannari,Jälkiruoka,Kahvi,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/punajuuririsotto,Punajuuririsotto,Lisuke,Pääruoka,Keittämisen sijaan punajuuret raasteeksi joka kuullotetaan sipulien kanssa,2022,,,,,testi123.yml
https://www.alko.fi/juoma-ruoka/resepti/punajuuritartar,Punajuuritartar,Alkuruoka,,,2020,,,,,testi123.yml
https://www.yhteishyva.fi/reseptit/puolukkapannacotta/043865,Puolukka Pannacotta,Jälkiruoka,Kahvi,NOM:,???,,,,,testi123.yml
https://www.bbc.co.uk/food/recipes/quick_flatbreads_43123,Quick flatbread,Välipala,Lisuke,"helppo, nopee. lisää suolaa taikinaan/päälle.  kannattaa kaulia/venytellä mahd. ohuiksi",2022,,,,,testi123.yml
https://www.valio.fi/reseptit/raejuusto-kasvistayte-uuniperunoille/,Raejuustokasvistäyte,Pääruoka,kastike,,???,,,,,testi123.yml
https://www.hs.fi/ruoka/reseptit/art-2000002683171.html?share=9071fa6f9d6562328eeeefa92308bced,Ranskalainen linssikeitto,Pääruoka,Alkuruoka,,???,,"keitto, pavut",,,testi123.yml
https://www.kodinkuvalehti.fi/reseptit/alkuruuat-juhli-ja-nauti/rapu-moussekakku,Rapumoussekakku,Piirakka,Alkuruoka,Saa maustua pidempään tai voi maustaa voimakkaammin. Erittäin hyvä. ,2021,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/ricotta-broccoli-lemon-penne,Ricotta parsakaali penne,Pääruoka,,"hyvä, nopee",???,,pasta,,,testi123.yml
https://www.bbcgoodfood.com/recipes/glazed-sesame-salmon,Seesamilohi,Pääruoka,,Helppo ja nopee,???,,kala,,,testi123.yml
https://kalaneuvos.fi/resepti/silakkapihvit/?gclid=Cj0KCQiAq97uBRCwARIsADTziybEDLd0m0ebM44QfuXAr2uC_gnYDw3QO6Gyp2hzSU8_E8yLee9dxH0aAsGUEALw_wcB,silakkapihvit,pääruoka,,"hyvä, leivitystä voi käyttää runsaammin",2019,,kala,,,testi123.yml
https://www.k-ruoka.fi/reseptit/sinihomejuusto-paarynapiirakka,Sinihomejuusto-päärynäpiirakka,pääruoka,,,2020,,uuni,,,testi123.yml
https://www.soppa365.fi/reseptit/liha-arjen-nopeat-pastat-ja-risotot/siskonmakkarapasta,Siskonmakkarapasta,Pääruoka,,,???,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/siskonmakkara-pinaattipasta,Siskonmakkarapinaattipasta,Pääruoka,,"Helppo, halpa ja hyvä!",???,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/sitruuna-minttugraavisiika,Sitruuna-minttugraavisiika,Alkuruoka,,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/sitruunainen-valkopapukeitto,Sitruunainen valkopapukeitto,Pääruoka,Alkuruoka,"Nopea ja helppo, voi helposti tehdä tupla-annoksen. Reseptistä tulee 4 annosta",2020,,"keitto, pavut",,,testi123.yml
https://www.bbcgoodfood.com/recipes/greggs-tangy-lemon-tart,Sitruunapiirakka,Jälkiruoka,,,2021,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/spaghetti-puttanesca-red-beans-spinach,Spaghetti puttanesca,Pääruoka,,,???,,pasta,,,testi123.yml
https://www.kotikokki.net/reseptit/nayta/29606/Suklaa-kaurakeksit/,Suklaa kaurakeksi,Kahvi,Jälkiruoka,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/taquitot,Taquito,Pääruoka,,"Hyvä, isohko vehnä+maissitortilla toimii paremmin rullailuun kuin pelkkä pieni maissitortilla",2022,,,,,testi123.yml
https://www.kinuskikissa.fi/tomaatti-mozzarellapiirakka/,Tomaatti mozzarellapiirakka,Piirakka,,"Helppo, halpa ja hyvä!",???,,uuni,,,testi123.yml
https://www.bbcgoodfood.com/recipes/tomato-mascarpone-risotto,Tomaatti-mascarponerisotto,Pääruoka,lisuke,,2020,,riisi,,,testi123.yml
